,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,loss,epsilon,tair,action,pmv,qheat,reward,occ
79,79,79,79,19652.984375,0.0,8.32119595270651,16.555555555555557,-3.447210659736888,0.0,1.0,0.0
80,80,80,80,9967837.0,0.0,8.711624998648096,16.555555555555557,-3.359694940919543,0.0,1.0,0.0
81,81,81,81,415134.6875,0.0,9.033410812336392,18.02020202020202,-3.276366087508599,0.0,1.0,0.0
82,82,82,82,1149255.25,0.0,9.272291800256996,18.02020202020202,-3.212951667078633,0.0,1.0,0.0
83,83,83,83,118825.96875,0.0,9.449748841921709,18.02020202020202,-3.163191201352381,0.0,1.0,0.0
84,84,84,84,46464.15625,0.0,9.59016595281846,18.02020202020202,-3.125628483257102,0.0,1.0,0.0
85,85,85,85,46010.1875,0.0,9.708071349894402,18.02020202020202,-3.0938630969553613,0.0,1.0,0.0
86,86,86,86,13604.984375,0.0,9.810590964397743,18.424242424242426,-3.0672803840398872,0.0,1.0,0.0
87,87,87,87,4245901.5,0.0,9.87899180517636,18.424242424242426,-3.0436937236890294,0.0,1.0,0.0
88,88,88,88,2923493.75,0.0,9.909113200265674,18.424242424242426,-3.030069257440515,0.0,1.0,0.0
89,89,89,89,1306987.75,0.0,9.907409954926056,18.424242424242426,-3.0230499155317894,0.0,1.0,0.0
90,90,90,90,15541.6875,0.0,9.884045058721338,18.424242424242426,-3.022761443955998,0.0,1.0,0.0
91,91,91,91,608463.25,0.0,9.845233851278715,18.424242424242426,-3.026725576358115,0.0,1.0,0.0
92,92,92,92,50556516.0,0.0,9.794610667436098,18.424242424242426,-3.034486695825971,0.0,1.0,0.0
93,93,93,93,347533.9375,0.0,9.72499102225962,18.424242424242426,-3.0447746010432764,0.0,1.0,0.0
94,94,94,94,2535089.0,0.0,9.634762763482476,18.424242424242426,-3.06074307953731,0.0,1.0,0.0
95,95,95,95,15778730.0,0.0,9.526250690417667,17.414141414141415,-3.08055530337158,0.0,1.0,0.0
96,96,96,96,81419.390625,0.0,9.398742549615198,17.414141414141415,-3.104297976201781,0.0,1.0,0.0
97,97,97,97,70703032.0,0.0,9.261225315520582,17.414141414141415,-3.1334486434902065,0.0,1.0,0.0
98,98,98,98,21453946.0,0.0,9.118648246151215,17.414141414141415,-3.1636659633557382,0.0,1.0,0.0
99,99,99,99,1015003.75,0.0,8.983910065035923,17.414141414141415,-3.195124594451338,0.0,1.0,0.0
100,100,100,100,20403440.0,0.0,8.863219915639396,17.414141414141415,-3.2225826811462714,0.0,1.0,0.0
101,101,101,101,50857988.0,0.0,8.745119518253993,18.424242424242426,-3.247758894072298,0.0,1.0,0.0
102,102,102,102,21080148.0,0.0,8.630793419045,18.424242424242426,-3.2751914707052765,0.0,1.0,0.0
103,103,103,103,32335898.0,0.0,8.528119307999745,18.424242424242426,-3.298096461760996,0.0,1.0,0.0
104,104,104,104,2245265.5,0.0,8.437077337234879,18.424242424242426,-3.3188433064722536,0.0,1.0,0.0
105,105,105,105,49613660.0,0.0,8.35458443927123,18.424242424242426,-3.3377918300210463,0.0,1.0,0.0
106,106,106,106,25468298.0,0.0,8.277324088918542,16.505050505050505,-3.354956758729598,0.0,1.0,0.0
107,107,107,107,1022928.625,0.0,8.20367550030302,16.505050505050505,-3.3712471952520007,0.0,1.0,0.0
108,108,108,108,13339104.0,0.0,8.138575234310998,16.505050505050505,-3.3867086607585613,0.0,1.0,0.0
109,109,109,109,12238688.0,0.0,8.082108517750727,16.505050505050505,-3.400731398316968,0.0,1.0,0.0
110,110,110,110,1161323.75,0.0,8.031002753768416,16.505050505050505,-3.413276943529005,0.0,1.0,0.0
111,111,111,111,165431.03125,0.0,7.982568739773969,16.505050505050505,-3.424910501621388,0.0,1.0,0.0
112,112,112,112,1162426.625,0.0,7.935588415591834,16.505050505050505,-3.4359527395536498,0.0,1.0,0.0
113,113,113,113,62532544.0,0.0,7.889919831891996,16.505050505050505,-3.4466876564363327,0.0,1.0,0.0
114,114,114,114,14327950.0,0.0,7.843588772008472,16.505050505050505,-3.457098108410354,0.0,1.0,0.0
115,115,115,115,10924864.0,0.0,7.79650458330662,16.505050505050505,-3.4675568185687773,0.0,1.0,0.0
116,116,116,116,41399228.0,0.0,7.749505049027822,16.505050505050505,-3.4780918611007707,0.0,1.0,0.0
117,117,117,117,123842.796875,0.0,7.703244811075306,16.505050505050505,-3.4886352318849925,0.0,1.0,0.0
118,118,118,118,94664.078125,0.0,7.657861083152008,16.505050505050505,-3.499071878685021,0.0,1.0,0.0
119,119,119,119,12890925.0,0.0,7.613306036155273,16.505050505050505,-3.5093948059882965,0.0,1.0,0.0
120,120,120,120,87900.375,0.0,7.572466368308224,16.505050505050505,-3.5196085978568474,0.0,1.0,0.0
121,121,121,121,60002.03125,0.0,7.535127042000295,16.505050505050505,-3.529102779734259,0.0,1.0,0.0
122,122,122,122,1214163.125,0.0,7.500106910786688,16.505050505050505,-3.538048872064225,0.0,1.0,0.0
123,123,123,123,10720031.0,0.0,7.466078308906464,17.515151515151516,-3.546483048855509,0.0,1.0,0.0
124,124,124,124,3052606.5,0.0,7.432512645742583,17.515151515151516,-3.5547169294624648,0.0,1.0,0.0
125,125,125,125,22461362.0,0.0,7.399414506721905,17.515151515151516,-3.562812117164785,0.0,1.0,0.0
126,126,126,126,808001.875,0.0,7.366656817040461,17.515151515151516,-3.570768867442592,0.0,1.0,0.0
