Date/Time,Electricity:Facility [J](Hourly),DistrictCooling:Facility [J](Hourly),DistrictHeating:Facility [J](Hourly),Carbon Equivalent:Facility [kg](Hourly),Electricity:Facility [J](Daily),DistrictCooling:Facility [J](Daily),DistrictHeating:Facility [J](Daily),Carbon Equivalent:Facility [kg](Daily),Electricity:Facility [J](Monthly),DistrictCooling:Facility [J](Monthly),DistrictHeating:Facility [J](Monthly),Carbon Equivalent:Facility [kg](Monthly),Electricity:Facility [J](RunPeriod),DistrictCooling:Facility [J](RunPeriod),DistrictHeating:Facility [J](RunPeriod),Carbon Equivalent:Facility [kg](RunPeriod),Electricity:Facility [J](TimeStep),DistrictCooling:Facility [J](TimeStep),DistrictHeating:Facility [J](TimeStep),Carbon Equivalent:Facility [kg](TimeStep) 
 01/01  21:10:00,,,,,,,,,,,,,,,,,968.719248,0.0,152374.22738666426,0.0 
 01/01  21:20:00,,,,,,,,,,,,,,,,,968.719248,0.0,153770.3662832849,0.0 
 01/01  21:30:00,,,,,,,,,,,,,,,,,968.719248,0.0,155144.28596156217,0.0 
 01/01  21:40:00,,,,,,,,,,,,,,,,,968.719248,0.0,156483.28936522353,0.0 
 01/01  21:50:00,,,,,,,,,,,,,,,,,968.719248,0.0,157793.8649040324,0.0 
 01/01  22:00:00,5812.315488,0.0,934640.6237976819,0.0,,,,,,,,,,,,,968.719248,0.0,159074.58989691468,0.0 
 01/01  22:10:00,,,,,,,,,,,,,,,,,968.719248,0.0,160268.4809087727,0.0 
 01/01  22:20:00,,,,,,,,,,,,,,,,,968.719248,0.0,161429.57406248287,0.0 
 01/01  22:30:00,,,,,,,,,,,,,,,,,968.719248,0.0,162552.06191352019,0.0 
 01/01  22:40:00,,,,,,,,,,,,,,,,,968.719248,0.0,163632.7580984121,0.0 
 01/01  22:50:00,,,,,,,,,,,,,,,,,968.719248,0.0,164675.8209754177,0.0 
 01/01  23:00:00,5812.315488,0.0,978245.0310379095,0.0,,,,,,,,,,,,,968.719248,0.0,165686.33507930389,0.0 
 01/01  23:10:00,,,,,,,,,,,,,,,,,968.719248,0.0,166617.26087634869,0.0 
 01/01  23:20:00,,,,,,,,,,,,,,,,,968.719248,0.0,167524.80397365275,0.0 
 01/01  23:30:00,,,,,,,,,,,,,,,,,968.719248,0.0,168414.91126016683,0.0 
 01/01  23:40:00,,,,,,,,,,,,,,,,,968.719248,0.0,169291.72823185958,0.0 
 01/01  23:50:00,,,,,,,,,,,,,,,,,968.719248,0.0,170158.06516727707,0.0 
 01/01  24:00:00,5812.315488,0.0,1013022.2452592522,0.0,139495.5717119997,0.0,22413239.5060351,0.0,,,,,,,,,968.719248,0.0,171015.4757499472,0.0 
