Date/Time,Electricity:Facility [J](Hourly),DistrictCooling:Facility [J](Hourly),DistrictHeating:Facility [J](Hourly),Carbon Equivalent:Facility [kg](Hourly),Electricity:Facility [J](Daily),DistrictCooling:Facility [J](Daily),DistrictHeating:Facility [J](Daily),Carbon Equivalent:Facility [kg](Daily),Electricity:Facility [J](Monthly),DistrictCooling:Facility [J](Monthly),DistrictHeating:Facility [J](Monthly),Carbon Equivalent:Facility [kg](Monthly),Electricity:Facility [J](RunPeriod),DistrictCooling:Facility [J](RunPeriod),DistrictHeating:Facility [J](RunPeriod),Carbon Equivalent:Facility [kg](RunPeriod),Electricity:Facility [J](TimeStep),DistrictCooling:Facility [J](TimeStep),DistrictHeating:Facility [J](TimeStep),Carbon Equivalent:Facility [kg](TimeStep) 
 01/01  20:40:00,,,,,,,,,,,,,,,,,968.719248,0.0,142762.96547884157,0.0 
 01/01  20:50:00,,,,,,,,,,,,,,,,,968.719248,0.0,144194.8025317821,0.0 
 01/01  21:00:00,5812.315488,0.0,852288.9760422097,0.0,,,,,,,,,,,,,968.719248,0.0,145627.82451984834,0.0 
 01/01  21:10:00,,,,,,,,,,,,,,,,,968.719248,0.0,147059.1653737368,0.0 
 01/01  21:20:00,,,,,,,,,,,,,,,,,968.719248,0.0,148478.06188202898,0.0 
 01/01  21:30:00,,,,,,,,,,,,,,,,,968.719248,0.0,149875.0545953374,0.0 
 01/01  21:40:00,,,,,,,,,,,,,,,,,968.719248,0.0,151244.64604923342,0.0 
 01/01  21:50:00,,,,,,,,,,,,,,,,,968.719248,0.0,152583.49633767317,0.0 
 01/01  22:00:00,5812.315488,0.0,903131.0879744645,0.0,,,,,,,,,,,,,968.719248,0.0,153890.66373645477,0.0 
 01/01  22:10:00,,,,,,,,,,,,,,,,,968.719248,0.0,155110.75731553656,0.0 
 01/01  22:20:00,,,,,,,,,,,,,,,,,968.719248,0.0,156297.83223618446,0.0 
 01/01  22:30:00,,,,,,,,,,,,,,,,,968.719248,0.0,157439.557909381,0.0 
 01/01  22:40:00,,,,,,,,,,,,,,,,,968.719248,0.0,158541.39909290197,0.0 
 01/01  22:50:00,,,,,,,,,,,,,,,,,968.719248,0.0,159607.39504555567,0.0 
 01/01  23:00:00,5812.315488,0.0,947638.0458732846,0.0,,,,,,,,,,,,,968.719248,0.0,160641.1042737249,0.0 
 01/01  23:10:00,,,,,,,,,,,,,,,,,968.719248,0.0,161595.2083769981,0.0 
 01/01  23:20:00,,,,,,,,,,,,,,,,,968.719248,0.0,162525.84445406049,0.0 
 01/01  23:30:00,,,,,,,,,,,,,,,,,968.719248,0.0,163438.8893388569,0.0 
 01/01  23:40:00,,,,,,,,,,,,,,,,,968.719248,0.0,164338.47080851175,0.0 
 01/01  23:50:00,,,,,,,,,,,,,,,,,968.719248,0.0,165227.36118747045,0.0 
 01/01  24:00:00,5812.315488,0.0,983232.8767984703,0.0,139495.5717119997,0.0,21741852.148005848,0.0,,,,,,,,,968.719248,0.0,166107.10263257259,0.0 
 01/02  00:10:00,,,,,,,,,,,,,,,,,968.719248,0.0,167182.98403402337,0.0 
 01/02  00:20:00,,,,,,,,,,,,,,,,,968.719248,0.0,168251.53883767705,0.0 
