Date/Time,CELLS:ROOMX1:Zone Outdoor Air Drybulb Temperature [C](TimeStep),PEOPLE CELLS:ROOMX1:People Occupant Count [](TimeStep),CELLS:ROOMX1:Zone Mean Radiant Temperature [C](TimeStep),CELLS:ROOMX1:Zone Mean Air Temperature [C](TimeStep),CELLS:ROOMX1:Zone Air Relative Humidity [%](TimeStep),CELLS:ROOMX1 IDEAL LOADS AIR:Zone Ideal Loads Zone Total Heating Energy [J](TimeStep),Electricity:Facility [J](Hourly),DistrictCooling:Facility [J](Hourly),DistrictHeating:Facility [J](Hourly),Carbon Equivalent:Facility [kg](Hourly),Electricity:Facility [J](Daily),DistrictCooling:Facility [J](Daily),DistrictHeating:Facility [J](Daily),Carbon Equivalent:Facility [kg](Daily),Electricity:Facility [J](Monthly),DistrictCooling:Facility [J](Monthly),DistrictHeating:Facility [J](Monthly),Carbon Equivalent:Facility [kg](Monthly),Electricity:Facility [J](RunPeriod),DistrictCooling:Facility [J](RunPeriod),DistrictHeating:Facility [J](RunPeriod),Carbon Equivalent:Facility [kg](RunPeriod),Electricity:Facility [J](TimeStep),DistrictCooling:Facility [J](TimeStep),DistrictHeating:Facility [J](TimeStep),Carbon Equivalent:Facility [kg](TimeStep) 
 01/01  13:00:00,0.9905750065986828,0.0,8.786303661370578,8.205683638226333,41.70437401757023,0.0,5812.315488,0.0,926639.2087110916,0.0,,,,,,,,,,,,,968.719248,0.0,150819.60826931065,0.0 
 01/01  13:10:00,1.0572416732653494,0.0,9.05302739818673,8.386227586937534,41.22432703862239,0.0,,,,,,,,,,,,,,,,,968.719248,0.0,148567.53631947033,0.0 
 01/01  13:20:00,1.123908339932016,0.0,9.39276148463643,8.825935573641234,40.12763971044133,0.0,,,,,,,,,,,,,,,,,968.719248,0.0,145909.6859682761,0.0 
 01/01  13:30:00,1.1905750065986827,0.0,9.71712274973499,9.239857423843262,39.127162650591689,0.0,,,,,,,,,,,,,,,,,968.719248,0.0,142906.33057598398,0.0 
 01/01  13:40:00,1.2572416732653494,0.0,9.925316379319025,9.573256600684001,38.35690818866191,0.0,,,,,,,,,,,,,,,,,968.719248,0.0,139657.4172122756,0.0 
 01/01  13:50:00,1.3239083399320162,0.0,10.111635809036212,9.813971481603013,37.83386589042688,0.0,,,,,,,,,,,,,,,,,968.719248,0.0,136438.4239251208,0.0 
 01/01  14:00:00,1.3905750065986827,0.0,10.256324745448595,9.991759274986333,37.472522818179808,0.0,5812.315488,0.0,847398.705186095,0.0,,,,,,,,,,,,,968.719248,0.0,133919.31118496823,0.0 
 01/01  14:10:00,1.473908339932016,0.0,10.393978044152611,10.135243819851328,37.19394915850292,0.0,,,,,,,,,,,,,,,,,968.719248,0.0,130108.51569166561,0.0 
 01/01  14:20:00,1.5572416732653494,0.0,10.508564919893658,10.258564056709933,36.96160174599961,0.0,,,,,,,,,,,,,,,,,968.719248,0.0,126374.64514351786,0.0 
 01/01  14:30:00,1.6405750065986827,0.0,10.613790167523917,10.36735724763806,36.76060630898534,0.0,,,,,,,,,,,,,,,,,968.719248,0.0,122670.71167324634,0.0 
 01/01  14:40:00,1.723908339932016,0.0,10.659065371469414,10.440764151555863,36.64154779185883,0.0,,,,,,,,,,,,,,,,,968.719248,0.0,119059.91825854742,0.0 
 01/01  14:50:00,1.8072416732653492,0.0,10.690236301576404,10.475344941396797,36.61212578301619,0.0,,,,,,,,,,,,,,,,,968.719248,0.0,115617.16652768839,0.0 
 01/01  15:00:00,1.8905750065986827,0.0,10.694532440585118,10.4766457308306,36.65868889661109,0.0,5812.315488,0.0,726266.5062597025,0.0,,,,,,,,,,,,,968.719248,0.0,112435.54896503684,0.0 
 01/01  15:10:00,1.873908339932016,0.0,10.686102071757479,10.4503112114385,36.76775946156983,0.0,,,,,,,,,,,,,,,,,968.719248,0.0,109841.94637310013,0.0 
 01/01  15:20:00,1.8572416732653495,0.0,10.658498412766053,10.406837435481873,36.910662469587908,0.0,,,,,,,,,,,,,,,,,968.719248,0.0,107568.91667264172,0.0 
 01/01  15:30:00,1.8405750065986828,0.0,10.620836778008249,10.352583100781251,37.07200868319077,0.0,,,,,,,,,,,,,,,,,968.719248,0.0,105625.92884346588,0.0 
 01/01  15:40:00,1.8239083399320162,0.0,10.546763447178236,10.278589382849498,37.27480791579772,0.0,,,,,,,,,,,,,,,,,968.719248,0.0,104037.24828796386,0.0 
 01/01  15:50:00,1.8072416732653494,0.0,10.461080018853034,10.18261783445832,37.525958722138749,0.0,,,,,,,,,,,,,,,,,968.719248,0.0,102796.73816709075,0.0 
 01/01  16:00:00,1.7905750065986828,0.0,10.359616535604149,10.065201324417874,37.82568141430261,0.0,5812.315488,0.0,631774.5403339042,0.0,,,,,,,,,,,,,968.719248,0.0,101903.76198964186,0.0 
 01/01  16:10:00,1.623908339932016,0.0,10.217565075796447,9.921352769432105,38.19109826281763,0.0,,,,,,,,,,,,,,,,,968.719248,0.0,101783.31998458764,0.0 
 01/01  16:20:00,1.4572416732653495,0.0,10.08363290803259,9.76278455139751,38.598426682518617,0.0,,,,,,,,,,,,,,,,,968.719248,0.0,101968.23272150668,0.0 
 01/01  16:30:00,1.2905750065986828,0.0,9.936248929387869,9.600002631789995,39.022230622831717,0.0,,,,,,,,,,,,,,,,,968.719248,0.0,102408.32557402012,0.0 
